English Terms,中文术语,中文定义,
Income Fund,收益基金,宗旨在于通过投资有利息或股息的证券提供稳定收入的共同基金,
Income Statement,损益表,公司财务报表的一部分，总结公司在特定时期内的收入与开支,
Income Stock,收益股票,一直定期支付股息，股息是总体回报的最大部分的股票,
Income Tax,所得税,对一个财政年度收入征收的税项，一般按年申报,
Indemnity,赔偿,合约方协议就对方的损失或损坏作出补偿,
Indenture,契约,债券发行人与债券持有人之间的合约，列明偿还年期、支付利率、可否转换(如可转换，转换的价格及比率)，以及偿还资金的金额,
Independent Auditor,独立审计师,具备注册公开会计师资格的外部审计师，可为企业编制审计师报告,
Index,指数,衡量总体市场中部分股票组合变动的数据指标,
Index Fund,指数基金,组合比重与一个股票交易所指数相同的投资组合，以复制该指数相同的表现,
Index Futures,指数期货,相对一种股票或金融指数，例如标准普尔500的期货合约。每个指数决定期货价值的倍数各有不同,
Index Option,指数期权,对金融指数的买入或出售期权,
Indicator,指标,可用以预测未来财务或经济趋势的任何方法,
Industry,行业,一家公司主要业务活动(一般指公司收入的最大来源)的类别,
Inflection Point,转捩点,改变我们想法或行为的事件,
Infrastructure ,基础设施,一个国家的基本实质系统,
Initial Margin,首期保证金,买入证券时，保证金可覆盖的金额占证券价格的百分比,
Initial Public Offering (IPO),首次公开上市,私人公司首次向公众发售股票。首次公开上市一般是较小型、较新的公司筹集资金扩展业务的途径,
Insider,内幕人士,拥有或可接触公司有价值的非公开信息的任何人士,
Insider Information,内幕消息,未向公众披露，有关公司活动的重要信息,
Insider Trading,内幕交易,拥有有关一种证券的非公开重要信息的人士买卖该种证券。这个行为使该内幕人士违反信托责任或其他基于信任及诚信的关系,
Installment Debt,分期偿还债务,债务人必须定期偿还，直至全数清偿本金与利息的债务,
Institutional Brokers' Estimate System (IBES) ,机构经纪人预测系统 ,搜集股票研究分析员对主要上市公司未来盈利的预测，并编制报告的系统,
Institutional Fund,机构基金,针对高价值投资者的共同基金，特点为收费低但最低投资要求高,
Institutional Investor,机构投资者,买卖证券的数量或金额足以使他们享有优惠待遇或较低佣金的非银行人士或机构。由于市场假设机构投资者具备较佳的专业知识，因而可以更好地保护自己，因此需要遵守的保护性限制较少,
Insolvency,资不抵债,指一家公司不能履行对另一家企业或机构的债务责任,
Intangible Asset,无形资产,非实质资产，例如商誉,
Interest Rate ,利率,对贷款支付(或收取，对债权人而言)的每月有效利率。一般以贷款的一个百分比表达,
Interest Rate Ceiling,最高利率,一家金融机构对任何可调整利率的房地产抵押或贷款可收取的最高利率，最高利率受到政府监管,
Interest Rate Parity,利率平价理论,认为两个国家利率的差额相等于远期兑换率及现货兑换率之间的差额,
Interest Rate Swap,利率掉期,多家银行或公司之间的交易，借贷人将浮息贷款转换为另一个国家的定息贷款，两项贷款可以是同一货币或不同的货币,
Interim Dividend,中期股息,公司年度股东大会举行及公布全年财务报表前支付的股息。这项股息一般与公司的中期业绩一同公布,
Internal Audit,内部审计,一家公司的内部人士对自己公司进行的审计,
Internal Growth Rate,内部增长率,一项业务在没有外部融资的情况下可以实现的最高增长率,
Internal Rate of Return (IRR),内部回报率,在资本预算过程中常用的标准，是令所有现金流的净现值等于零的利率,
International Accounting Standards,国际会计标准,一套会计标准，列明将不同种类交易或其他事件纪录在财务报表的正确方法,
International Bond,国际债券,指由非本土机构发行的债券,
International Fund,国际基金,可以在本土国家以外任何国家投资的共同基金,
Inventory,库存、存货,库存可以是原材料、可供出售制成品或制造中的半制成品。库存是公司的资产负债表中的资产项,
Inventory Turnover,库存周转率,一家企业在特定期间出售及置换库存的倍数,
Investing,投资,对一项事业活动(包括业务、项目、房地产等)投入资金或资本，以期获取额外收入或利润,
Investment ,投资,为赚取收入或资本升值而买入的资产或事物,
Investment Bank,投资银行,提供多种服务的金融中介机构，包括证券承销、担任证券发行人及投资群体的中介人、促成并购及企业重组，以及担任机构客户的经纪人,
Investment Banker,投资银行家,为企业或政府执行融资计划的金融机构的代表人,
Investment Climate,投资环境,影响金融市场的总体经济环境,
Investment Company Act of 1940,1940年投资公司法,于1940年根据国会法案而制定的法律，明确界定向公众提供投资产品的基金公司的责任及需要遵守的限制,
Investment Real Estate,投资性房地产,可赚取收入的房地产,
Investment Vehicle,投资媒体,指投资的任何方法,
Investor Relations,投资者关系部,中至大型上市公司常见的的部门，负责向投资者提供有关公司的准确信息，让投资者有足够的信息作出买卖决策,
Invisible Hand,无形之手,正常情况下，市场会以它内在的机制维持其健康的运行。其中主要依据的是市场经济活动中的 经济人理性原则，以及由经济人理性原则支配下的理性选择。这些选择逐步形成了市场经济中的价格机制、供求机制和竞争机制。这些机制就像一只看不见的手，在 冥冥之中支配着每个人，自觉地按照市场规律运行。,
Invisible Supply,可见供应,在期货合约到期时可送交，但不能明确数量的商品存货,
IPO Lock-up,首次公开上市锁定期、禁售期,承销商与进行首次公开上市公司的内部人士之间具有法律约束力的合约，规定在特定时期内，这些人士不可出售任何该公司的股票,
Issuer,发行人,发售(或建议发售)证券的实体，例如企业或政府,
Joint Account,联合账户,由两名或以上人士持有的证券行或银行户口,
Joint Bond,共同债券,在两名或以上受益方有生期内持续付款的年金,
Joint Owned Property,共同拥有财产,由一名以上人士拥有的财产,
Joint Stock Company,股份公司,指发行股票可作二级市场销售的公司，股票持有人需要承担公司债务的责任,
Joint Venture,合资企业、合资经营,两名或以上人士或两家或以上企业合作组成一家企业，双方分享利润及控制权并分担亏损,
Junior Security,次级证券,在资产与收入索偿权方面，等级较低的证券,
Junk Bond,垃圾债券、高风险债券,投机性债券，一般评级BB级或以下，违约风险较高,
Just In Time,及时生产,旨在提高效益及减少浪费的生产策略，在接到订单或有实际需要时才生产货品,
LBO,负债收购,利用债务资金(债券或贷款)收购另一家公司的策略。收购方利用自己的资产作为债务的抵押，期望未来现金流足以偿付贷款,
LIBOR,伦敦银行同业拆放利率,在伦敦银行同业市场银行之间借贷的利率,
LIFO,后进先出,库存管理及估值方法，要点在于先出售最后买入的产品,
LLC,有限责任公司,企业结构的一种，采用这种结构的公司的股东只需对公司行动负上有限的责任,
LTM ,过去12个月,指过去12个月的财务业绩,
Labor Intensive,劳工密集,生产需要大量人力的生产过程或行业,
Laissez Faire ,自由不干预理论,18世纪提出的经济理论，强力反对政府对商业作出任何干预,
Large-Cap,高市值股票,总市值界乎100亿至2000亿美元的公司,
Last In First Out (LIFO),后进先出,库存管理及估值方法，要点在于先出售最后买入的产品,
Last Twelve Months,过去12个月,指过去12个月的财务业绩,
Leakage,涉漏消息,在公开公布前向一些人士发放消息,
Lease,租赁,一方获得长期租赁协议，另一方获得由抵押长期债务的协议安排,
Leaseback ,租回已出售财产,资产卖方向买方租回同一资产 ,
Letter of Comfort,告慰函、安慰函,母公司向借款机构发出的函件，声明批准子公司进行计划中融资,
Letter of Credit,信用证,银行发出的函件，证明一宗交易的买方会准时向卖方支付预定的金额,
Letter of Indemnity,赔偿保证书,证明交易方将履行合约条款，否则需要作出财务补偿的函件,
Letter of Intent,意向书,表达一家企业进行某项行动的函件,
Leveraged Buyout (LBO),负债收购,利用债务资金(债券或贷款)收购另一家公司的策略。收购方利用自己的资产作为债务的抵押，期望未来现金流足以偿付贷款,
Leveraged Lease,融资租赁,一种租赁协议，出租方通过向金融机构借贷，买入出租的资产,
Leveraged Recapitalization,融资资本充实,指公司借入大额新债务，以支付大额股息或重新买入股票，导致公司的负债率大增,
Liability,负债,负债指通过权责发生会计制度估计的合法债务或负债责任，是资产负债表的一个项目，在一年内偿还的属于流动负债，而距离到期日还有一年以上的属于长期负债,
Life Insurance,人寿保险,对受保人士过世造成收入损失的保障。指定受益人可获得赔偿，以舒缓受保人死亡造成的财务影响,
Limited Liability Company (LLC),有限责任公司,企业结构的一种，采用这种结构的公司的股东只需对公司行动负上有限的责任,
Limited Partnership,有限合伙,两个或以上合伙人合作经营业务，其中一个或以上合伙人只需承担相等于投资额的责任。有限责任合伙人不能收取股息，但可直接分享收入及分担开支,
Line of Credit,信贷额度、信贷限额,金融机构(一般为银行)与客户之间的安排，定明银行容许借方维持的最高贷款结余,
Liquidated Damages,预定的违约金,出现在某些法律合约的条款，规定若一方违约，需要支付特定金额,
Liquidation ,清算、清理,若一项业务或一家公司终止运作或破产，资产将会被出售，以便向债权人偿还债务。剩余的金额将分配给股东,
Liquidity Preference Theory,流动性偏好理论,假定远期汇率高于未来即期汇率的理论,
Liquidity Risk,流通风险,指一项投资缺乏市场买卖能力，即不能迅速买入或卖出，以避免或减少损失的风险,
Liquid Market,高流通性市场,存在大量叫价及出价的市场，高流通性、价差低及波动性低是高流通性市场的指标,
Listed Security,上市证券,获认可、受管制交易所接受进行买卖的证券,
Loan,贷款,指贷方将金钱或财产给与借方，而借方同意在未来预定日期归还财产或连利息归还金钱的安排,
Loan Loss Provision,贷款损失准备金,预留应付坏账的款项(客户违约、需要重新磋商贷款条款等),
Loan Sharking,高利贷,借方支付的利息高于法定利率。贷方一般不能收取高于每年60%的利息，但实际规定视乎国家而定,
Loan Syndication,贷款银团,多个贷方共同出资的贷款，各贷方的出资比例可能不同,
Loan to Value Ratio,贷款与价值比率,放贷风险比率，计算方法为抵押或贷款总额除以物业的估值,
Lock-up Agreement,锁定协议,承销商与公司的内部人士之间具有法律约束力的合约，规定在特定时期内，这些人士不可出售任何该公司的股票,
London Interbank Offer Rate (LIBOR),伦敦银行同业拆放利率,在伦敦银行同业市场银行之间借贷的利率,
Long Bond,长期债券,年期10年以上的债券，经常指30年美国国库券,
Long Term Debt/Capitalization,长期债务/总资本比率,显示公司财务贡杆的比率。计算方法为公司长期债务除以可用资本(长期债务、优先股及股东权益的总和),
Long Term Debt,长期债务,需要支付利息、年期超过1年的贷款或财务责任,
Long Term Liabilities,长期负债,资产负债表上的项目，指公司的租赁、债券偿还及其他超过1年后到期的负债,
Lot ,交易单位、批,一般指组成一宗交易的货品或服务组合,
Lump Sum Distribution,一次总付分配,一次性支付到期的金额，而不是将付款分为金额较小的分期付款。部分一次性付款可获得特殊税务待遇,
M1,货币供应量1,货币供应的一种，包括所有实质金钱，例如纸币与硬币，也包括活期存款，即支票户口及即期户口,
M2,货币供应量2,货币供应的一种，包括货币供量1，加所有定期存款、储蓄存款及非机构性货币市场基金,
M3,货币供应量3,货币供应的一种，包括货币供应量2，加所有大额定期存款、机构性货币市场基金、短期购回协议，以及较大型流通资产,
MTN,中期票据,一般指年期5-10年的票据,
Macroeconomics,宏观经济,研究总体经济行为的经济学范畴,
Majority Shareholder,多数股东,拥有一家企业50%以上已发行股份的人士或集团,
Management Buyin (MBI),保留管理层的收购项目,一组公司外部投资者买入公司的控股股权，并维持现有的管理层,
Management Buyout (MBO),管理层收购项目,一家公司的管理人员及/或行政人员买入公司的控股股权,
Management Fee,管理费用,共同基金经理就提供的服务向投资者收取的定额费用,
Manager Universe (Benchmark),管理人基准比较,将户口的表现与具代表性的同类资金经理群作比较,
Marginal Tax Rate,边际税率,多赚1元需要支付的额外税款。税率会随着收入增加而提高,
Marginal Utility,边际效用,消费者使用多一个单位的产品或服务可带来的额外满足感,
Markdown,减价、调低标价,市场内经纪商的最高叫价与交易商收取客户的较低价格之间的差额,
Market Arbitrage,市场套利,同时在不同市场买入同一种证券，从两个独立市场的价差获利,
Market Cannibilization,互相争夺市场,一家公司推出新产品对现有的相关产品的不利影响,
Market Capitalization,总市值,所有已发行股票的总值。计算方法为股票数量乘以当时市场价格,
Market Exposure,股市投资比率,一名人士或共同基金在股票市场的投资额，一般以百分比计算,
Market Outperform,表现超越大市,研究分析员建议的一种，指一种股票的表现预期会稍微超越大市,
Market Order,市价订单,指示立即以当时最佳市价买卖股票的指令，市价订单保证获得执行,
Market Risk,市场风险,投资者经常面对，由证券价格波动而引起损失的机会,
Market Risk Premium,市场风险溢价,一个投资组合的预期回报率与无风险率之间的差额,
Market Segmentation,市场细分,市场学用词，指将需要相似，可能会接受同类促销手段的潜在客户集合成为不同组别,
Market Sentiment,市场情绪,市场的气氛与基调。主要体现在证券的买卖活动及价格上,
Market Value Added (MVA),市场增值,一家公司的市场价值(股本及债务)以及投资者投入资金之间的差额,
Marketable Securities,有价证券,流通性非常高，可迅速以合理价格转换成为现金的证券,
Maturity Date,到期日期,借贷方向投资者偿付债券本金或其他债务的日期，也是停止支付利息的日子,
Mean,平均值,两个或以上数字的简单数学平均,
Mechanical Investing,机械化投资,根据预定机械性投资选择标准买卖股票。这个选择标准利用重点相对实力或势头(有时也采用其他指标)，评定多种股票的优先秩序，然后投资者投资于这类投资选择制度中排名最高的5-10种股票,
Medium Term,中期,在中等年期内持有资产,
Medium Term Note (MTN),,中期票据,一般指年期5-10年的票据
Mega Cap,超高市值股票,总市值超过2000亿美元的公司,
Member of Household,家庭成员,在整个税务年度居住于纳税人家庭内的人士,
Merchant Bank,商人银行,主要经营(但不限于)国际贸易、长期企业贷款以及包销的银行。商人银行不向普罗大众提供一般的银行服务,
Merger,合并,两家或以上公司结合，一般做法为向一家公司的股东提供收购方的股份，换取他们让出被收购公司的股份,
Merger Arbitrage,合并套利,一种对冲基金的策略，指基金同时买入及卖出两家合并中公司的股票，从而获取无风险的利润。合并套利者面对的风险为合并未能及时完成，甚至最终不能完成。基于这个轻微的不明确因素，出售目标公司股票的价格一般相对完成合并后公司的股价有折让,
Michigan Consumer Sentiment Index,密歇根消费者信心指数,由美国密歇根大学进行的消费者信心调查，每个月第10天(除非当日为周末)公布初步报告，然后在下个月的第一天公布上个月的报告定稿,
Micro Cap Stock,微型市值股票,总市值界乎5000万至3亿美元的公司,
Microeconomics ,微观经济,研究资源分配及收入分布，以及政府政策及价格体系对这些因素的影响的经济学范畴,
Mid Cap Stock,中等市值股票,总市值界乎20亿至100亿美元的公司,
Minority Interest,少数权益,在一家企业/子公司的重要但非控股股权，在财务报告上会并入母公司账目,
Mirror Fund,镜子基金,共同基金的一种，一般由寿险公司经营，让投资者可通过其寿险保单参与另一家公司的共同基金,
Monetary Policy,货币政策,中央银行、货币局或其他监管机关制订，对货币供应量及增长率的政策，会对利率造成影响,
Money Flow,货币流量,计算方法为将全日最高、最低及收盘价格的平均乘以当日交易量，将数字与上一个交易日的数字作比较，就可以得出当日货币流入或流出量,
Money Flow Index (MFI),货币流量指数,衡量一种证券货币流入或流出状况的指标，可显示出该证券的走势。货币流量指数与价格趋势出现分歧可能代表价格趋势即将逆转,
Money Laundering,洗黑钱,使来自贩毒、恐怖活动或其他严重罪行的非法资金看来来自合法的来源,
Money Market,货币市场,买卖短期债务及货币工具的证券市场。货币工具指期限少于一年而且流通性非常高的债务,
Money Market Account,货币市场账户,提供具竞争性利率(实际利率)，吸引较大额储蓄存款的储蓄账户,
Money Market Fund,货币市场基金,投资短期债务工具的共同基金。基金的目的在于为股东赚取利息，同时维持每股1美元的净资产值,
Money Supply,货币供应,一家国家经济体系内所有纸币、硬币、贷款、信贷及其他流通工具的总额。货币供应按其储存账户的种类及金额分为货币供应1、货币供应2与货币供应3,
Money Zero Maturity (MZM),零期限货币,一个经济体系内流通货币供应的指标，相等于货币供应2减定期存款，加货币市场基金,
Monopoly ,垄断、专利,指单一公司拥有一种货品或服务的所有或接近所有市场份额,
Monopsony,买方垄断,与垄断相似，指一个主要买方(非卖方)占市场的重要比重，促使价格下跌,
Mortgage ,房地产抵押,以特定房地产为抵押的贷款，借方有责任偿还预定的一系列还款,
Mortgage Backed Securities ,以房地产抵押作担保的证券,代表一组房地产抵押不可分割权益的投资工具，该组房地产抵押的本金及利息将用以支付这种投资工具的本金及利息,
Mortgage Banker,房地产抵押银行家,房地产抵押合约的贷方，或直接借出贷款的一方,
Multinational Corporation,跨国企业,指在最少一个国外国家拥有设施及其他资产的企业,
Multiple ,倍数,一般指市盈率，计算方法为股票当时价格除以公司当期的每股盈利,
Multiple Compression,倍数压缩,指虽然公司盈利良好，但股价不变，甚至下跌，造成市盈率下跌，但其实公司的基本面并没有问题的情况。股票的估值值得商榷，其实唯一不同的是投资者愿意对这种股票支付的价格,
Multiplier Effect,乘数效应,由于一个国家的银行能够借出的资金比接收的多，造成国家的货币供应增加,
Municipal Bond,市政债券,一个州、省、市或县政府发行的债务证券，目的在于筹集基本建设资金。美国的市政债券一般无需缴税，尤其是如果投资者是发行政府所在地的居民,
Municipal Bond Fund,市政债券基金,投资于市政债券的共同基金，一般以投资信托或开放式基金的形式经营,
Municipal Convertible,市政可转换证券,在某些情况下可以转换成为有利息债券的零息票市政债券,
Mutual Fund,共同基金,给与小投资者参与包含股票、债券及其他证券的多元化投资组合的证券。每名股东都可以分享基金的收益及分担损失。发行的股票在有需要时可以赎回。基金每日计算净资产值。每种共同基金都根据公开说明书中声明的目标进行投资,
Mutual Fund Liquidity Ratio,共同基金流动率,美国投资公司协会(Investment Company Institute) 每月发布的报告，比较各共同资金投资组合的现金与资产比率,
NASD,国家证券经纪商协会,一个自我监管的证券行业组织，负责营运及监督纳斯达克股票市场及场外市场。协会也主持投资专业人员的考试，例如Series 7考试,
Nasdaq,纳斯达克市场、国家证券经纪商协会自动报价系统,于1971年成立，纳斯达克是全球第一个电子股票市场，纳斯达克市场利用电脑化系统为约5000种较活跃的场外股票进行买卖及提供报价,
Nasdaq-NM,纳斯达克全国市场,纳斯达克全国市场包含3000多家公司，这些公司都拥有全国性或国家性股东基础、符合严格的财务要求及认同既定的企业治理标准,
NAV,资产净值,"估值法的优势在于它为企业价值设定了一个估值底线，对内地很多""地产项目公司""尤为适用。而且NAV估值考虑了预期价格的变化、开发速度和投资人回报率等因素，相对于简单的市盈率比较更加精确。",
NI,净收入,一名人士或一家公司的盈利总额，即总收入扣除业务成本、折旧、利息、税款及其他开支,
NOI,营运净收入,公司的营运收入减所得税及少数权益,
NPL ,不良贷款,已经违约或接近违约的贷款,
NPV,净现值,资本预算采用的一种方法，指流出现金流的现值减流入现金流的现值,
NYSE,纽约股票交易所,纽约股票交易所负责制定政策、监督股票交易所及其会员的行为以及上市证券的公司，也负责管理交易所会员议席的转换，包括评审申请成为专家人士的资格,
Nasdaq National Market Securities ,纳斯达克全国市场,纳斯达克全国市场包含3000多家公司，这些公司都拥有全国性或国家性股东基础、符合严格的财务要求及认同既定的企业治理标准,
Natural Unemployment,自然失业,一个经济体系内的长期持续失业率,
Negative Carry,负盈利,融资成本高于证券或期货投资收益率的交易,
Negative Covenant,负面契约,禁止借贷方在未获得债券持有人同意下进行某些活动的债券条款,
Negative Goodwill,负商誉,由于收购价格低于收购资产的公平价值而获得的收益,
Negative Income Tax,负所得税,向贫穷线以下人士或家庭提供收入资助的税务制度,
Negative Pledge Clause,负抵押条款,契约中的负面条款，声明若资产抵押会减少贷款方抵押价值，则借贷方不可进行这项抵押,
Negotiated Underwriting,经磋商协议的承销费用,即一项新发行的价格及承销佣金通过磋商议定，而并非通过竟标过程而制定,
Net Debt,净债务,计算方法为短期及长期有利息债券减现金(以及现金等值物),
Net Domestic Product,国内生产净值,一个国家经折旧调整经济生产的年度指标。计算方法为国内生产总值减折旧,
Net Exports,净出口值,相等于总出口值减总进口值,
Net Income (NI),净收入,一名人士或一家公司的盈利总额，即总收入扣除业务成本、折旧、利息、税款及其他开支,
Net Interest Margin,净息差,利息收入以及利息开支之间的差额除以盈利资产平均值,
Net Investment Income,净投资收入,投资收益减投资直接成本,
Net Liquid Assets,流通资产净值,公司的流通财务资产减流动负债,
Net Loss,净亏损、净损失,指一名人士或一家公司的开支超过收入,
Net Operating Income (NOI),营运净收入,公司的营运收入减所得税及少数权益,
Net Operating Profit After Tax (NOPAT),税后净营运利润,一家公司在无债务情况下可能实现的现金盈利，一般用以计算经济增值,
Net Operating Profit Less Adjusted Taxes (NOPLAT) ,税务调整净营运利润,经税务调整的公司总营运利润,
Net Present Value (NPV),净现值,资本预算采用的一种方法，指流出现金流的现值减流入现金流的现值,
Net Proceeds,净收益,在扣除所有成本后来自出售物业、贷款或出售证券而收取的金额,
Net Receivables,应收账款净额,公司的应收账款(其他人士或公司的欠款)减所有坏账准备金,
Net Sales,净销售额,在扣除销售成本后卖方从买方收取的金额,
Net Tangible Assets,有形资产净值,计算方法为总资产减无形资产及负债,
Net Worth,净值,一名人士资产高于负债的差额,
New Economy,新经济,新兴术语，指创新、高增长、在科技上具备独特优势的行业，是经济增长的推动力,
New York Stock Exchange,纽约股票交易所,纽约股票交易所负责制定政策、监督股票交易所及其会员的行为以及上市证券的公司，也负责管理交易所会员议席的转换，包括评审申请成为专家人士的资格,
Nikkei,日经指数,最重要、最著名的日本股票指数,
Nominal Interest Rate,名义利率,经通胀调整后的利率,
Nominal Value,名义价值,已发行证券的明确价值，这个价值长期维持固定，相对于随着市场波动的市场价值,
Nominal Yield,名义收益率,债券上列明的利率，指发行人就债券面值而支付利息的利率,
Non-Callable ,不可买回,发行人在到期前不可买回的证券,
Non-Operating Asset,非营运资产,对业务持续运作并非必需的资产,
Non-Operating Cash Flows,非营运现金流,来自非经常投资、融资及股息的现金流入及现金流出,
Non-Performing Asset,不良资产,不能有效产生收入的资产,
Non-Performing Loan,不良贷款,已经违约或接近违约的贷款,
Non-Profit Organization,非牟利机构,无需缴税的机构，向非牟利机构的捐赠一般也免税,
Non-Recourse Debt,无追索权债务,有抵押(抵押品一般为物业)贷款，若贷款方违约，放款方可接收抵押品,
Non-Recourse Finance,无追索权融资,贷款的一种，贷款银行只有权收取有关贷款提供资金的项目的收入作为还款，对贷款方的其他资产并无追索权,
Nonrecurring Charge,非经常开支,在公司财务报表只出现一次的开支,
Note,票据,债务证券的一种，期限一般为一至十年,
NYSE Composite Index,纽约股票交易所综合指数,包括在纽约股票交易所上市所有普通股的指数，旗下并设有四个分组指数：工业、交通、公共事业及金融。指数追踪纽约股票交易所上市普通股市场价值的变动，并消除新上市及摘牌的影响。每种股票市场价值的计算方法为每股价格乘以上市股票数量,
OECD,经济合作及发展组织,由三十个成员国组成，就经济发展及社会政策进行讨论的国际组织,
OPEC,石油输出国组织、欧佩克,旨在维持石油市场稳定及蓬勃的国际组织。任何认同组织理念的重要石油出口国都可以成为会员国,
OTC,场外交易证券,指并非在交易所买卖的证券，一般由于未能符合上市要求。在处理这些证券时，经纪人/交易商直接通过电脑网络及电话联系。这些买卖活动受到国家证券经纪商协会的严密监察,
Obligor ,债务人,有责任偿还债务本金及利息的机构,
Odd Lot,零星股、散股,数目不足正常交易单位的证券,
Off Balance Sheet Financing,资产负债表以外融资,公司筹集资金的一种方法，与贷款、债务或股票等会出现在资产负债表上的融资方法不同，这些融资不会出现在资产负债表上，例子包括合资企业、研发合作等,
Offering Circular,发行说明书,新证券发行的简短公开说明书，发行人向散户投资者及经纪行分发，以期引起投资兴趣的文件,
Offering Memorandum,发行备忘录,声明私募的目标、风险及投资条款的法律文件,
Offshore,境外,指位于或总部设于国界以外地区的机构,
Oligopoly ,寡头垄断,指一种货品或服务的市场被少数公司控制的情况,
Oligopsony,卖方寡头垄断,与寡头垄断相似，指少数大型买方(非卖方)占市场的重要比重，促使价格下跌,
Online Banking,网上银行,通过互联网进行的银行活动,
Open End Credit,开放性信贷,预先核准，可重复使用，直至达到预定限额的贷款,
Open-End Fund,开放性基金,可继续向投资者出售股份，并可在投资者愿意卖出时买回股份的共同基金,
Operating Cash Flow (OCF),营运现金流,一家企业来自营运的现金，一般指总收入减所有营运开支。,
Operating Expenses,营运开支,公司维持业务必须购买事物的开支,
Operating Income,营运收入,业务营运带来的利润,
Operating Lease,营运租赁,容许租借方使用一种资产，但没有转让资产实质股权的合约,
Operating Leverage,营运贡杆,衡量一家公司或一个项目依赖固定成本，而非可变成本的程度,
Operating Margin,营运利润率,计算方法为公司营运利润除以净销售额,
Operating Ratio,营运比率,显示一家公司管理效益的比率。,
Opportunity Cost,机会成本,选择一项投资并放弃另一项投资在回报上的分别,
Option,期权,一方售予另一方的特权，使买方有权(但无责任)以特定的价格在特定的时间内购买(买回)或出售(卖回)一种股票,
Organic Growth,内部增长,一家公司除并购带来的增长以外的增长率,
Organization of Petroleum Exporting Countries (OPEC),石油输出国组织、欧佩克,旨在维持石油市场稳定及蓬勃的国际组织。任何认同组织理念的重要石油出口国都可以成为会员国,
Other Current Assets,其他流动资产,资产负债表项目，包括非现金资产，例如预付开支及一年内到期的应收账款,
Other Current Liabilities,其他流动负债,资产负债表项目，用以归纳债务或应付账款等普通负债项目以外的流动负债,
Other Long Term Liabilities,其他长期负债,资产负债表项目，包括剩余租赁、未来员工福利、递延税务及其他当时无需支付利息的负债责任,
Out of Pocket Expenses,实付开支,基于商业或个人原因支付的开支，这类开支一般可以免税,
Outperform,表现超越大市,研究分析员建议的一种，指一种股票的表现预期会稍微超越大市,
Outside Director,外部董事,并非公司员工或权益方的董事会成员,
Outsourcing ,外包,指将部分工序转交外部供应商，不在公司内进行，从而减低成本的措施,
Overallotment ,超额配股权,在首次公开上市中出售比原定发行规模更多的股票,
Overcapitalization,资金过剩,公司拥有的资金多于业务所需,
Overcollateralization,增加抵押通知,有关增加抵押的通知,
Overdraft,透支,放贷机构即时发放的信贷,
Overhang,积压待发股票、悬货,计算方法为已发出的股票期权+将发出的期权，除以已发行股票数目,
Overhead,间接成本,直接劳工成本、物料或行政成本以外的所有成本,
Overnight Index Swap,隔夜指数掉期,指将隔夜利率交换成为若干固定利率的利率掉期,
Overnight Rate,隔夜利率,一家存托机构利用手头资金向另一家存托机构借出隔夜贷款的利率,
Oversold,超卖,技术分析用词，指市场的卖出证券或商品的数量高于根据基本面分析的合理出售数量,
Oversubscribed,超额认购,股票新发行(首次公开上市)获得的需求高于拟定发行股票的数量,
Over-The-Counter (OTC),场外交易证券,指并非在交易所买卖的证券，一般由于未能符合上市要求。在处理这些证券时，经纪人/交易商直接通过电脑网络及电话联系。这些买卖活动受到国家证券经纪商协会的严密监察,
P/E Ratio,市盈率,估值比率，指公司当时股价与每股盈利的比率,
PCE,个人消费开支,与消费物价指数相似，个人消费开支是商务部经济分析局发布的一项报告(实际上是个人收入报告的一部分)，个人消费开支是衡量消费货品及服务价格变动的一个指标，包含实际及估算家庭开支，也包括耐用品、非耐用品及服务数据,
PP&E ,地产、厂房及设备　,指公司拥有的房地产、厂房及设施,
PV,现值,假定一个回报率，计算一笔未来资金在今天的价值,
Paid in Capital,实收资本,从投资者收取以交换股票的资金，是资产负债表的一个项目,
Paid-Up Capital,已缴资本,指一项证券的所有付款责任都已全数偿付的结算状况,
Panic Buying,恐慌性买入,股价上升引发的大量买入交易,
Panic Selling,恐慌性出售,股价下跌引发的大量卖出交易,
Pari Passu,同等权利,付款权利相等的两种证券或债务责任。是拉丁文用词，意思为_奁?,
Paris Club,巴黎俱乐部,19个国家债权人每月在巴黎举行会议，以讨论债务事宜。巴黎俱乐部的重点讨论事项为合作缓解无法偿还债务的发展中国家的债务负担,
Parity,平价,由于叫价一样，交易所中所有竞投同一种证券的经纪人享有同等的地位,
Parity Bond,等值债券,两种或以上对债券偿付与抵押收入权利相等的债券,
Par Value,票面值,债券的面值,
Passive Investing? ,被动投资,一种买卖行动有限的投资策略。被动投资者的投资目的在于以有限的维持成本实现长期升值,
Patent,专利权,给与一个程序、设计或新发明独享权的政府许可证,
Payback Period,投资回收期,回收投资成本所需的时间。,
Paydown ,部分还款,指偿付部分未清偿贷款余款,
Paydown Factor,部分还款系数,计算方法为：将每个月从房地产证券的本金中扣除的部分现金，除以证券的原来本金额,
Paying Agent,付款代理人,从证券发行人接受付款，然后分派给证券持有人的代理人,
Payment Date,付款日期,预定支付已公布股息的日期,
Payment in Kind,实物支付,指以货品或服务代替现金支付,
Payment in Kind Bond (PIK),实物支付债券,向债券持有人派发额外债券，代替以现金支付利息,
Payout Ratio,派息比率,股息占盈利的百分比。计算方法为每股股息除以每股盈利,
PEG Ratio,市盈率与增长比率,用作评估股票计入盈利增长因素的价值的比率,
